# Distance    Theta1    Theta2    Theta3
1.855932203389830448e+00 1.060712956752750680e+00 7.196603448436965644e-01 8.492918582302677599e-01
1.898305084745762539e+00 1.118105855321572362e+00 8.748171669752048407e-01 1.408885449813108259e+00
1.940677966101694851e+00 1.123191242339674822e+00 1.019848192088207872e+00 7.047538263964790994e-01
1.983050847457627164e+00 1.108767154027248791e+00 7.967524322712450369e-01 7.990725521517827445e-01
2.025423728813559254e+00 1.141797744257620817e+00 1.255554188271341021e+00 7.124414398191549758e-01
2.067796610169491345e+00 1.109788359281833170e+00 1.581072556214558222e+00 1.727241959183331232e+00
2.110169491525423879e+00 1.066943102371091801e+00 1.167735004720782177e+00 1.345041577347757755e+00
2.152542372881355970e+00 1.088718319821572855e+00 9.586183343770650067e-01 1.401138094050300653e+00
2.194915254237288060e+00 1.045293075032077024e+00 9.756787618330419187e-01 1.076622386422207533e+00
2.237288135593220151e+00 1.062073791667084377e+00 1.131811985314066682e+00 1.016610049947867633e+00
2.279661016949152241e+00 1.091507192656159253e+00 1.088772868137758643e+00 9.492835389662945822e-01
2.322033898305084776e+00 1.021124034281452042e+00 1.331273170996629673e+00 8.854314657539780198e-01
2.364406779661016866e+00 1.019448227735426871e+00 1.435391423839480485e+00 1.479248781898845344e+00
2.406779661016948957e+00 1.063269436725598371e+00 8.089696772865684338e-01 8.269492899564107047e-01
2.449152542372881491e+00 1.027973805750215686e+00 1.358031846075039351e+00 1.417280018883837700e+00
2.491525423728813582e+00 1.005220259898980117e+00 1.136450700457049212e+00 9.344743997558613291e-01
2.533898305084745672e+00 1.062600625241644003e+00 7.741325268634610124e-01 1.708394714823814997e+00
2.576271186440677763e+00 1.077470849023525634e+00 7.782879573353398417e-01 1.679626990913805074e+00
2.618644067796609853e+00 1.000681575329544604e+00 1.107216953807356186e+00 1.512758053675491654e+00
2.661016949152542388e+00 1.021763686779417535e+00 1.162026901731397110e+00 1.070465693858555278e+00
2.703389830508474478e+00 1.013679255178362437e+00 7.724918043872610607e-01 1.069059056877907476e+00
2.745762711864406569e+00 1.001253427156077125e+00 7.021984621142526306e-01 9.471885121874532576e-01
2.788135593220339103e+00 1.052838876345425723e+00 7.910374145166734206e-01 1.613339306449091959e+00
2.830508474576271194e+00 9.748253542943827732e-01 9.764174495254417385e-01 7.951284049806554011e-01
2.872881355932203284e+00 1.014723564122891997e+00 1.385962098323546332e+00 1.003241943774560996e+00
2.915254237288135375e+00 9.802687107158442048e-01 9.958536133390002432e-01 1.326991472656189108e+00
2.957627118644067465e+00 1.014032476827591900e+00 1.478853240314691675e+00 1.728105876145559883e+00
3.000000000000000000e+00 1.035718496257473253e+00 1.156173866369550884e+00 1.057294964500524070e+00
